2020-11-17 07:31:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2500 in 489.342523ms
2020-11-17 07:31:34 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 07:34:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2520 in 1.089902605s
2020-11-17 07:38:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2540 in 491.816614ms
2020-11-17 07:41:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2560 in 495.587509ms
2020-11-17 07:44:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2580 in 1.195071631s
2020-11-17 07:48:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2600 in 496.861438ms
2020-11-17 07:51:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2620 in 406.33467ms
2020-11-17 07:54:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2640 in 1.288868651s
2020-11-17 07:58:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2660 in 591.838294ms
2020-11-17 07:59:24 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 08:01:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2680 in 497.203594ms
2020-11-17 08:04:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2700 in 1.190993561s
2020-11-17 08:08:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2720 in 590.049766ms
2020-11-17 08:11:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2740 in 493.55534ms
2020-11-17 08:14:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2760 in 1.188028045s
2020-11-17 08:18:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2780 in 592.97056ms
2020-11-17 08:21:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2800 in 498.633208ms
2020-11-17 08:24:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2820 in 997.026161ms
2020-11-17 08:27:15 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 08:28:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2840 in 496.136945ms
2020-11-17 08:31:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2860 in 399.950393ms
2020-11-17 08:34:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2880 in 1.393771606s
2020-11-17 08:38:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2900 in 495.24863ms
2020-11-17 08:41:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2920 in 490.218308ms
2020-11-17 08:44:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2940 in 1.104110884s
2020-11-17 08:48:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2960 in 596.156988ms
2020-11-17 08:51:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #2980 in 490.582961ms
2020-11-17 08:54:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3000 in 1.087936141s
2020-11-17 08:54:54 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 08:58:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3020 in 588.843746ms
2020-11-17 09:01:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3040 in 401.979765ms
2020-11-17 09:04:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3060 in 1.187809054s
2020-11-17 09:08:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3080 in 490.234088ms
2020-11-17 09:11:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3100 in 398.798459ms
2020-11-17 09:14:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3120 in 1.196816968s
2020-11-17 09:18:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3140 in 400.932789ms
2020-11-17 09:21:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3160 in 499.281467ms
2020-11-17 09:22:45 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 09:24:44 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3180 in 890.186698ms
2020-11-17 09:28:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3200 in 495.389683ms
2020-11-17 09:31:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3220 in 400.71514ms
2020-11-17 09:34:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3240 in 1.092937874s
2020-11-17 09:38:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3260 in 588.061305ms
2020-11-17 09:41:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3280 in 406.406936ms
2020-11-17 09:44:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3300 in 1.087848587s
2020-11-17 09:48:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3320 in 496.570257ms
2020-11-17 09:50:34 UTC | PROCESS | INFO | (pkg/forwarder/transaction.go:277 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector"
2020-11-17 09:51:24 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3340 in 495.781664ms
2020-11-17 09:54:45 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3360 in 1.196257925s
2020-11-17 09:58:04 UTC | PROCESS | INFO | (collector.go:161 in runCheck) | Finish process check #3380 in 498.484205ms
