        CONTAINER ID                                                                                                                                                                     IMAGE                            COMMAND                  STATUS               PORTS                                                                                                                                          NAMES
        394a3b38159b                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                   [/k8s_POD_authentication-service-b9d9c5d-2ls4s_orion_81f277ff-6d3c-4b0c-8e2f-304eed0c9338_0]
        b762ce6020d9                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                               [/k8s_POD_gateway-service-1603977279-standalone-646db8c56c-q8pd8_staging_2a9cba59-d004-4fc9-a7c9-d914c45643bc_0]
        8a8f912ecbba                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                 [/k8s_POD_authentication-service-7bb669cc5d-wjjm4_prod_ae57115b-282c-4459-bdc5-cff7c5d7a410_0]
        10b9a256c803                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                   [/k8s_POD_gateway-service-6c5b79f67c-6csww_chauv-dev_adddafb3-3127-4dbb-9d3a-a370a1c227de_0]
        3766f136da30                                                                        jaegertracing/jaeger-agent@sha256:ab4f094ac7c18bd9ebe01f72c9990e8e71ff21ea685c6986cc5f655d05ff129a              "/go/bin/agent-linux"               Up 7 days                  []                                                              [/k8s_jaeger-agent_jaeger-agent-m9bxt_ops_ddda487a-4f03-46fc-994c-d9fe8c7656d0_0]
        00617cc20932                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                                       [/k8s_POD_jaeger-agent-m9bxt_ops_ddda487a-4f03-46fc-994c-d9fe8c7656d0_0]
        5bcf0dad33ee                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                              [/k8s_POD_n2a98b14-597e-422c-89b0-d4f8352db29a-kube2iam-kxng5_kube-system_490da332-17b1-4dc0-9e56-2995bf71eae2_0]
        697fc019a12b                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                                     [/k8s_POD_datadog-6ldcj_monitoring_d2ae7477-aae3-4a64-a055-767aeb1b13bd_0]
        582a6a18cb4b                                       602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni@sha256:400ab98e321d88d57b9ffd15df51398e6c2c6c0167a25838c3e6d9637f6f5e0c                        "/bin/sh …"               Up 7 days                  []                                                              [/k8s_aws-node_aws-node-7rnpr_kube-system_a007db4d-cdc2-4250-8683-bda73a0b26cb_0]
        fe384b7e0df8                                       602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy@sha256:83c099a27e7b6482a54f2e8b547cbd7999ddcd977aa64875e50ffb726bd3c29d                     "kube-proxy …"               Up 7 days                  []                                                          [/k8s_kube-proxy_kube-proxy-79z54_kube-system_e6437541-806c-4d7d-9476-4377e15c94e4_0]
        43459680fb81                                                                  quay.io/prometheus/node-exporter@sha256:8a3a33cad0bd33650ba7287a7ec94327d8e47ddf7845c569c80b5c4b20d49d36             "/bin/node_exporter …"               Up 7 days                  []                                      [/k8s_node-exporter_prometheus-prometheus-node-exporter-t2h89_ops_ef918f4b-345b-4bdc-b885-b59f12d0d8a8_0]
        b69ab5598b10                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                [/k8s_POD_prometheus-prometheus-node-exporter-t2h89_ops_ef918f4b-345b-4bdc-b885-b59f12d0d8a8_0]
        0557a6e925f0                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                                   [/k8s_POD_aws-node-7rnpr_kube-system_a007db4d-cdc2-4250-8683-bda73a0b26cb_0]
        a913cfa863b3                                                                                                     602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.1-eksbuild.1                           "/pause"               Up 7 days                  []                                                                 [/k8s_POD_kube-proxy-79z54_kube-system_e6437541-806c-4d7d-9476-4377e15c94e4_0]
